id,mean_cc_gain,mean_cross_gain,zone,model
114,1.4904884439814434,2.066447418406798,ablation,06_combined800
46,1.5010491020894694,3.6110668269671073,ablation,06_combined800
19,1.4143355008775145,3.7127055610972315,ablation,06_combined800
37,1.5457038260478257,3.2092817134605873,ablation,06_combined800
65,1.460580638443346,4.633782533755447,ablation,06_combined800
62,1.5338731970362893,2.976130093598496,ablation,06_combined800
97,1.4765372514802872,3.373724027547005,ablation,06_combined800
0,1.47904861839594,4.6667966846151065,ablation,06_combined800
79,1.5344443923809492,3.6848869763091052,ablation,06_combined800
12,1.4570290900091716,5.944669116923247,ablation,06_combined800
99,1.3308229909536704,4.458310321164197,ablation,06_combined800
21,1.4354150265749257,3.5307290405263556,ablation,06_combined800
112,1.7552283107650475,4.493200553679125,ablation,06_combined800
67,1.684482800402615,4.330430562409593,ablation,06_combined800
113,1.6341250939455025,5.402254516741964,ablation,06_combined800
55,1.7688237896028653,3.9571390189623843,ablation,06_combined800
49,1.5848154173772655,2.5309948759865155,ablation,06_combined800
77,1.4395159062579133,3.8664105669390096,ablation,06_combined800
101,1.7060063555749565,2.9458750341305935,ablation,06_combined800
50,1.3526405358276419,3.2111914821607312,ablation,06_combined800
27,1.5266814941134925,3.0371042368560817,ablation,06_combined800
87,1.5037227964609614,2.592939696718029,ablation,06_combined800
98,1.4065209448115081,2.8481967022495516,ablation,06_combined800
28,1.492975215195185,5.158828379023022,ablation,06_combined800
29,1.3442671576598086,1.8352021796215567,ablation,06_combined800
71,1.7994169539873819,2.475438323792921,ablation,06_combined800
69,3.918094297552007,2.1251255241463305,ablation,06_combined800
116,1.4290317118609461,3.1205233148012295,ablation,06_combined800
24,1.408046749607389,4.327326178138365,ablation,06_combined800
84,1.5098734842141053,2.959321341397066,ablation,06_combined800
20,1.464597906551362,2.2721754341486786,ablation,06_combined800
2,1.412082468073184,3.099749336490941,ablation,06_combined800
6,1.5223838064731843,4.904596764402208,ablation,06_combined800
30,1.4130671235935452,3.381646955937945,ablation,06_combined800
47,1.600446063087248,4.556528907272045,ablation,06_combined800
38,1.4840844514474034,3.858431137716964,ablation,06_combined800
74,1.5473079670937282,4.3131237788519945,ablation,06_combined800
40,1.5511341878067288,4.192151926003069,ablation,06_combined800
31,1.5919349038074766,2.595892683798068,ablation,06_combined800
36,1.627527251449545,3.230866832632651,ablation,06_combined800
83,1.5687314593354018,3.668116293262257,ablation,06_combined800
