Wall time,Step,Value
1700150191.328984,3,0.08959385007619858
1700150198.430853,4,0.08855903148651123
1700150226.962948,8,0.0857980027794838
1700150234.136799,9,0.08486080169677734
1700150248.65467,11,0.08414549380540848
1700150255.758439,12,0.08430616557598114
1700150262.904568,13,0.08388102054595947
1700150277.129274,15,0.08216215670108795
1700150284.247506,16,0.08145810663700104
1700150291.388571,17,0.08022507280111313
1700150298.502685,18,0.08001074939966202
1700150326.964655,22,0.07805121690034866
1700150391.020655,31,0.07727762311697006
1700150398.098265,32,0.07643149048089981
1700150412.308466,34,0.07580498605966568
1700150433.615877,37,0.07552667707204819
1700150440.754594,38,0.07548518478870392
1700150455.036074,40,0.0748213604092598
1700150469.217174,42,0.07444813847541809
1700150476.331668,43,0.07445796579122543
1700150490.542813,45,0.07353242486715317
1700150504.807344,47,0.07367781549692154
1700150511.942401,48,0.073575958609581
1700150533.279847,51,0.07283119112253189
1700150540.391765,52,0.07381583750247955
1700150547.495458,53,0.07324905693531036
1700150554.636824,54,0.07245033979415894
1700150561.728995,55,0.07319002598524094
1700150583.040154,58,0.07299208641052246
1700150590.21726,59,0.07241161912679672
1700150604.430782,61,0.07164827734231949
1700150618.755586,63,0.07165743410587311
1700150625.933655,64,0.07138166576623917
1700150633.044553,65,0.07150661945343018
1700150640.16556,66,0.07246286422014236
1700150661.588026,69,0.07080549746751785
1700150668.762871,70,0.07198205590248108
1700150675.883592,71,0.07157528400421143
1700150683.031416,72,0.07177291065454483
1700150697.317285,74,0.07109420001506805
1700150718.699441,77,0.07110974192619324
1700150754.256554,82,0.07066410034894943
1700150761.370335,83,0.07011991739273071
1700150768.475678,84,0.07048893719911575
1700150775.582485,85,0.07052189856767654
1700150782.688881,86,0.07006379961967468
1700150789.785564,87,0.06963489949703217
1700150825.320961,92,0.06976769864559174
1700150882.203642,100,0.07005971670150757
1700150903.577009,103,0.06943210959434509
1700150910.670189,104,0.06979749351739883
1700150960.36117,111,0.06974273920059204
1700150981.674112,114,0.06940529495477676
1700150995.892728,116,0.06909295171499252
1700151003.013068,117,0.06859104335308075
1700151010.137015,118,0.0689043402671814
1700151038.559652,122,0.06848939508199692
1700151045.662039,123,0.06871463358402252
1700151052.745335,124,0.06815747916698456
1700151074.058183,127,0.06958509981632233
1700151081.144403,128,0.06759283691644669
1700151102.436935,131,0.06928157806396484
1700151130.847124,135,0.06869889795780182
1700151145.055439,137,0.06848274171352386
1700151159.370509,139,0.06816495954990387
1700151166.501757,140,0.06868231296539307
1700151173.616778,141,0.06864345073699951
1700151180.717897,142,0.06856423616409302
1700151209.152998,146,0.06896869093179703
1700151223.396507,148,0.06804477423429489
1700151244.690973,151,0.06888704746961594
1700151251.815628,152,0.06894311308860779
1700151258.912488,153,0.0680205374956131
1700151273.130727,155,0.0679977610707283
1700151280.238578,156,0.06871894001960754
1700151287.356659,157,0.06859845668077469
1700151308.667437,160,0.06828348338603973
1700151322.915227,162,0.06793626397848129
1700151330.026142,163,0.06845658272504807
1700151344.287125,165,0.06781082600355148
1700151351.392645,166,0.06751278787851334
1700151372.761107,169,0.0674252137541771
1700151408.537083,174,0.06832405179738998
1700151415.641114,175,0.06761116534471512
1700151422.753801,176,0.06851538270711899
1700151437.014102,178,0.06800556182861328
1700151444.145507,179,0.0683603510260582
1700151458.348266,181,0.0675337091088295
1700151472.568695,183,0.06786901503801346
1700151479.707973,184,0.06796753406524658
1700151486.83987,185,0.06818204373121262
1700151493.95257,186,0.06821633130311966
1700151508.197635,188,0.06739966571331024
1700151515.31143,189,0.06746304035186768
1700151565.21039,196,0.06774619966745377
1700151593.687261,200,0.06750684231519699
1700151622.4401,204,0.06619971245527267
1700151629.552654,205,0.0682126134634018
1700151636.661679,206,0.06752289831638336
1700151665.417332,210,0.06678888946771622
1700151686.780384,213,0.06794045120477676
1700151708.111873,216,0.06783612072467804
1700151715.241711,217,0.06693986803293228
1700151736.577153,220,0.06721866130828857
1700151743.702171,221,0.06706463545560837
1700151757.954386,223,0.06821586936712265
1700151765.059782,224,0.06720557063817978
1700151772.187807,225,0.06724569201469421
1700151786.467648,227,0.06771169602870941
1700151793.600854,228,0.06634683907032013
1700151807.842909,230,0.06720918416976929
1700151814.958871,231,0.06721310317516327
1700151822.105058,232,0.0671432614326477
1700151843.462837,235,0.06607566773891449
1700151864.815222,238,0.06671068072319031
1700151900.640407,243,0.06627365946769714
1700151914.877655,245,0.0674825981259346
1700151929.123081,247,0.06738201528787613
1700151936.260747,248,0.06777311861515045
1700151971.888922,253,0.0666797086596489
1700151993.228396,256,0.06724459677934647
1700152000.359375,257,0.06667182594537735
1700152007.458334,258,0.06741562485694885
1700152014.573526,259,0.06645890325307846
1700152028.813898,261,0.06696806848049164
1700152057.331407,265,0.066655233502388
1700152071.589881,267,0.06717678159475327
1700152085.840752,269,0.06627915054559708
1700152100.104809,271,0.06662706285715103
1700152135.737098,276,0.06664776802062988
1700152150.00976,278,0.0662107840180397
1700152178.528529,282,0.06688929349184036
1700152214.180581,287,0.06756582856178284
1700152228.476876,289,0.06793646514415741
1700152235.57696,290,0.06767480820417404
1700152256.913649,293,0.06707277148962021
1700152271.158337,295,0.06645027548074722
1700152278.28647,296,0.06698554754257202
1700152285.491402,297,0.06543051451444626
1700152299.765743,299,0.0665167048573494
1700152306.901775,300,0.06629905104637146
1700152314.10573,301,0.0664706602692604
1700152342.733751,305,0.06693433970212936
1700152349.872505,306,0.06682708114385605
1700152364.104938,308,0.066832534968853
1700152385.4535,311,0.06638231873512268
1700152413.937509,315,0.06646791100502014
1700152421.046277,316,0.06616251170635223
1700152428.169991,317,0.065610371530056
1700152435.295854,318,0.06715210527181625
1700152449.577437,320,0.06631051003932953
1700152470.971706,323,0.06631767749786377
1700152478.112556,324,0.06601261347532272
1700152485.236903,325,0.06680620461702347
1700152506.663928,328,0.06661181151866913
1700152513.805397,329,0.06638301908969879
1700152528.082798,331,0.06589186936616898
1700152570.884269,337,0.06707219034433365
