id,mean_cc_gain,cross_raw,cross_denoised,cross_gain,zone,model
135,1.5687260337435152,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
37,1.4387285095961508,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
178,1.4221062555944595,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
154,1.596357995754158,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
177,1.474308511808049,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
123,1.4700334509138497,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
147,1.7798903829103931,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
70,1.7636908164997585,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
120,1.4898407714549002,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
20,1.3184976335162388,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
61,1.527979300926813,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
124,1.3086397661107743,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
151,1.7474532251694008,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
14,1.3104231547173306,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
106,1.72426121024108,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
2,1.6744006881638067,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
90,1.9210976721920296,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
100,1.4129050960236633,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
12,1.49734290284326,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
68,1.5337438183237349,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
41,1.6419011386068085,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
32,1.3964065447003295,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
111,1.466364292234587,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
84,1.4986999216047123,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
22,1.8264782370601214,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
18,1.3567980274480802,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
144,1.3688775810160574,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
60,1.568220721809062,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
157,1.4908423945376827,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
122,1.7045864136245412,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
43,1.8017282218007828,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
85,1.4335661950935723,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
3,1.3141645431154085,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
160,1.4762516350875408,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
69,1.7799656216383983,cross_raw,cross_denoised,cross_gain,accumulation/0706_AJP,01_ablation_horizontal
