id,mean_cc_gain,mean_cross_gain,zone,model
1,1.3097769978751128,1.813750576808129,accumulation,07_combined120
114,1.371965064464083,1.5161750089277326,accumulation,07_combined120
49,1.3517046824599066,1.2669548209480808,accumulation,07_combined120
164,1.2081204144906539,1.108428446088975,accumulation,07_combined120
10,1.8931287544753963,2.3701179886893664,accumulation,07_combined120
141,1.7253919142812222,1.2276027412095356,accumulation,07_combined120
174,1.2837617906109506,1.4675752002653168,accumulation,07_combined120
105,1.6031769568052319,1.9507641398559976,accumulation,07_combined120
23,1.4512326311115888,1.5716087896945476,accumulation,07_combined120
98,1.277115120209794,1.3278187771628687,accumulation,07_combined120
71,1.601236391415334,1.8395300954204608,accumulation,07_combined120
99,1.5643453549653263,1.655620383564227,accumulation,07_combined120
104,1.4981179517733207,1.611041013694051,accumulation,07_combined120
150,1.2655494857530705,1.3671759041202294,accumulation,07_combined120
95,1.3759197022331044,1.4977238752053796,accumulation,07_combined120
138,1.3501733692876554,1.402266079355583,accumulation,07_combined120
80,1.2404889428087575,1.3976534246176233,accumulation,07_combined120
176,1.2695908313415287,1.2453957855102291,accumulation,07_combined120
73,1.2205981878847634,1.3734061173214742,accumulation,07_combined120
75,1.2092375940879079,1.1775257986399457,accumulation,07_combined120
91,1.2925103985388564,1.3858702789679218,accumulation,07_combined120
24,1.4524975816023102,1.5274344619397338,accumulation,07_combined120
26,1.979422107221294,1.7050399765150104,accumulation,07_combined120
46,1.9521665269179913,2.2973706335912074,accumulation,07_combined120
103,1.3021546546712426,1.495356291898183,accumulation,07_combined120
169,1.2772893461483261,1.1938780719065474,accumulation,07_combined120
45,1.2844839158403132,1.2753825515675248,accumulation,07_combined120
96,1.9335171464848044,2.4398237997796004,accumulation,07_combined120
130,1.1990456742412936,1.3980527300714631,accumulation,07_combined120
56,1.2674498598340485,1.4225672760214323,accumulation,07_combined120
107,1.1944441364200287,1.2813191367036123,accumulation,07_combined120
146,1.57484179203677,2.2547533623337093,accumulation,07_combined120
94,1.3754335895957341,1.144824885806603,accumulation,07_combined120
125,1.6646066896808462,2.041044216103854,accumulation,07_combined120
145,1.1479197836518906,1.4186660055924298,accumulation,07_combined120
119,1.1711438270493926,1.1969392350950465,accumulation,07_combined120
77,1.9462405666882359,2.0462115672783723,accumulation,07_combined120
64,1.40130417727067,1.7148972100387077,accumulation,07_combined120
149,1.5765958516965195,2.1181270227612634,accumulation,07_combined120
74,1.2857785825564694,1.9002629742076649,accumulation,07_combined120
101,1.4353723972789072,1.4955209045511608,accumulation,07_combined120
9,1.7097563788381904,2.2495626598760188,accumulation,07_combined120
76,1.77458003517253,2.424614630612119,accumulation,07_combined120
44,1.7423309052633538,1.8454929800701456,accumulation,07_combined120
116,1.2273724668583383,1.3937642917648425,accumulation,07_combined120
152,2.066942719128901,1.8623376815081094,accumulation,07_combined120
42,1.2558133320629925,1.520899671855282,accumulation,07_combined120
35,1.3221848268361567,1.3648728306081168,accumulation,07_combined120
27,1.264425406157006,1.219484021434094,accumulation,07_combined120
97,1.6749811388292084,1.6515789239844048,accumulation,07_combined120
129,1.2835158358523056,1.5880750200151545,accumulation,07_combined120
72,1.2337790106492454,1.2704718297085766,accumulation,07_combined120
21,1.498984118334763,1.7512440412533103,accumulation,07_combined120
156,1.3853728003900638,1.2632265897516821,accumulation,07_combined120
113,1.298316008920894,1.3322503842110927,accumulation,07_combined120
155,1.3564293896255974,1.568553808932939,accumulation,07_combined120
58,1.2327107534052737,1.1405307985255,accumulation,07_combined120
89,1.854327836640855,2.1300067403179264,accumulation,07_combined120
8,1.210374832492758,1.4502171157471173,accumulation,07_combined120
128,1.2932612745890992,1.3200360757959466,accumulation,07_combined120
148,1.753968589226576,1.838279764738521,accumulation,07_combined120
171,1.3728933369697442,1.3080653916894471,accumulation,07_combined120
135,1.2912157551923493,1.2519139578845968,accumulation,07_combined120
37,1.2727717467833273,1.2524554575663183,accumulation,07_combined120
178,1.3193056699801677,1.3123379055692186,accumulation,07_combined120
154,1.288408942843109,1.6230760669473334,accumulation,07_combined120
177,1.2892808228284764,1.3397381480899626,accumulation,07_combined120
123,1.253615087074675,1.1686752468382375,accumulation,07_combined120
147,1.335843054029273,1.6599154912123653,accumulation,07_combined120
70,2.1036347353707443,1.9701759752648087,accumulation,07_combined120
120,1.353767539697716,1.1993769534234116,accumulation,07_combined120
20,1.303267828696201,1.5356393188133595,accumulation,07_combined120
61,1.2899739445804905,1.5291391763875901,accumulation,07_combined120
124,1.303063974426626,1.211927350096777,accumulation,07_combined120
151,1.5851854195951558,1.4606867562775714,accumulation,07_combined120
14,1.1951496804232091,1.4236210418420003,accumulation,07_combined120
106,1.7998516658615493,2.175412906136473,accumulation,07_combined120
2,1.4358344387395434,1.774592253457433,accumulation,07_combined120
90,2.064932431149749,2.4642092332257723,accumulation,07_combined120
100,1.3477831443608246,1.2418260859558856,accumulation,07_combined120
12,1.3831004648513097,1.5653023155957264,accumulation,07_combined120
68,1.3783445315157323,1.3376088088886058,accumulation,07_combined120
41,1.3771733511946884,1.4391984955229744,accumulation,07_combined120
32,1.279242233922177,1.1344043138690232,accumulation,07_combined120
111,1.3204832498845103,1.3325621910487555,accumulation,07_combined120
84,1.2456695586348316,1.1437998172962702,accumulation,07_combined120
22,1.6511319954595614,1.7241940303017587,accumulation,07_combined120
18,1.301900151192897,1.3425753966419993,accumulation,07_combined120
144,1.2212808517221294,1.3436481722876263,accumulation,07_combined120
60,1.4697832021802726,1.435282649622892,accumulation,07_combined120
157,1.2669504043334203,1.2918177556856807,accumulation,07_combined120
122,1.4336366773521272,1.8902981211827012,accumulation,07_combined120
43,1.4827409817561892,1.78080704995194,accumulation,07_combined120
85,1.296006911218376,1.4443496182203712,accumulation,07_combined120
3,1.2019064059447917,1.2877373632460234,accumulation,07_combined120
160,1.9745675541921215,1.6423293311943326,accumulation,07_combined120
69,1.563549034359252,1.8815193128438281,accumulation,07_combined120
110,1.2879982011290216,1.3211933682407975,accumulation,07_combined120
54,1.3002473891308,1.2919700256144422,accumulation,07_combined120
11,1.249478991235571,1.5467383070110032,accumulation,07_combined120
109,1.609008633694149,1.8806564495701075,accumulation,07_combined120
118,1.8693397748612852,2.2550792605928978,accumulation,07_combined120
172,1.1339688664256333,1.396105889073273,accumulation,07_combined120
137,1.4046091387649942,1.5512708482837922,accumulation,07_combined120
173,1.3861766372996052,1.6016913154080583,accumulation,07_combined120
48,1.4136873593886266,1.472306223590404,accumulation,07_combined120
134,1.3503805407381644,2.0302691579404955,accumulation,07_combined120
4,1.485216053045156,1.5744755150234917,accumulation,07_combined120
166,1.1782009374435514,1.2563105198713462,accumulation,07_combined120
153,1.682281797408057,1.8823709187688895,accumulation,07_combined120
51,1.5506045765018497,1.454511339805007,accumulation,07_combined120
63,1.4161650183455874,1.6048771090746619,accumulation,07_combined120
55,1.2019690162126555,1.2910553291892852,accumulation,07_combined120
142,1.2417379084772786,1.495998948013471,accumulation,07_combined120
28,1.3450126985593218,1.674242754727047,accumulation,07_combined120
92,1.260867516826142,1.3153207838897358,accumulation,07_combined120
15,1.1105758763310742,1.4304031311392336,accumulation,07_combined120
93,1.5422264728721733,1.7017028148765323,accumulation,07_combined120
159,1.2592828921811106,1.2221458398475413,accumulation,07_combined120
87,1.5824125867363201,1.7998284010811152,accumulation,07_combined120
29,1.2474281466759398,1.2665557777955359,accumulation,07_combined120
140,1.3013772494271096,1.3075036200646422,accumulation,07_combined120
57,1.8734551600471672,2.2502691061623565,accumulation,07_combined120
115,1.2788721975179524,1.1081098473995146,accumulation,07_combined120
78,1.4396982680609602,1.5079871364284128,accumulation,07_combined120
136,1.2652821452885123,1.5037420392587921,accumulation,07_combined120
5,1.3442850082458537,1.552099309697094,accumulation,07_combined120
133,1.4806083721376335,1.8658275604610748,accumulation,07_combined120
79,1.2865226688269402,1.2813327536959285,accumulation,07_combined120
19,1.3123771230799983,1.5123935169716165,accumulation,07_combined120
82,1.5291870290886784,1.446753963112673,accumulation,07_combined120
47,1.4523424178152484,1.5951729259231988,accumulation,07_combined120
121,1.2996844434898929,1.2590306735678376,accumulation,07_combined120
162,1.152269071094003,1.5541515812228561,accumulation,07_combined120
117,1.212571291266301,1.3313036797990314,accumulation,07_combined120
40,2.1563866740739215,1.9097499787419103,accumulation,07_combined120
65,1.1737673312227632,1.4669859993741903,accumulation,07_combined120
167,1.2234732709439542,1.3110338370481904,accumulation,07_combined120
7,1.5811043191861962,2.3856621336247867,accumulation,07_combined120
161,1.262488614719803,1.3287191805667986,accumulation,07_combined120
102,1.6234579345507054,1.6730052841665581,accumulation,07_combined120
175,1.479649612569006,1.6971344858620419,accumulation,07_combined120
132,1.655909154558384,2.2546950796931435,accumulation,07_combined120
50,1.229260313390043,1.3366551771231172,accumulation,07_combined120
165,1.2995171586768486,1.3023103928093955,accumulation,07_combined120
83,1.4616445424899054,1.533282882180069,accumulation,07_combined120
67,1.2955120187402507,1.1646438274069695,accumulation,07_combined120
131,1.5916143015660165,2.187902544735123,accumulation,07_combined120
13,1.4233192947745454,1.7384917809582863,accumulation,07_combined120
36,1.1928607041612251,1.2814175990542531,accumulation,07_combined120
